uri;idLegislaturaFinal;nomeCivil
https://dadosabertos.camara.leg.br/api/v2/deputados/69871;57;JOAO CARLOS BACELAR BATISTA
https://dadosabertos.camara.leg.br/api/v2/deputados/178975;57;LUIZ FELIPE BALEIA TENUTO ROSSI
https://dadosabertos.camara.leg.br/api/v2/deputados/220605;57;EDUARDO CARVALHO BANDEIRA DE MELLO
https://dadosabertos.camara.leg.br/api/v2/deputados/220612;57;Carlos Roberto Rodrigues
https://dadosabertos.camara.leg.br/api/v2/deputados/73701;57;BENEDITA SOUZA DA SILVA SAMPAIO
https://dadosabertos.camara.leg.br/api/v2/deputados/109429;57;LUIZ BENES LEOCADIO DE ARAUJO
https://dadosabertos.camara.leg.br/api/v2/deputados/204358;57;HUMBERTO REZENDE PEREIRA
https://dadosabertos.camara.leg.br/api/v2/deputados/220698;57;CARLOS ALBERTO GEBRIM PRETO
https://dadosabertos.camara.leg.br/api/v2/deputados/220683;57;CARLOS ALBERTO RICHA
https://dadosabertos.camara.leg.br/api/v2/deputados/204374;57;BEATRIZ KICIS TORRENTS DE SORDI
https://dadosabertos.camara.leg.br/api/v2/deputados/204388;57;ALCIBIO MESQUITA BIBO NUNES
https://dadosabertos.camara.leg.br/api/v2/deputados/160538;57;ELVINO JOSÉ BOHN GASS
https://dadosabertos.camara.leg.br/api/v2/deputados/210989;57;BRUNO SOUZA FARIAS
https://dadosabertos.camara.leg.br/api/v2/deputados/220635;57;BRUNO AREVALO GANEM
https://dadosabertos.camara.leg.br/api/v2/deputados/220574;57;GILBERTO GOMES DA SILVA
https://dadosabertos.camara.leg.br/api/v2/deputados/143942;57;CAIO SANTOS VIANNA
https://dadosabertos.camara.leg.br/api/v2/deputados/220548;57;CAMILA BAZACHI JARA MARZOCHI
https://dadosabertos.camara.leg.br/api/v2/deputados/204572;57;ALBERTO BARROS CAVALCANTE NETO
https://dadosabertos.camara.leg.br/api/v2/deputados/220690;57;ALDEN JOSE LAZARO DA SILVA
https://dadosabertos.camara.leg.br/api/v2/deputados/178829;57;JOSE AUGUSTO ROSA
https://dadosabertos.camara.leg.br/api/v2/deputados/204507;57;CARLA ZAMBELLI SALGADO DE OLIVEIRA
https://dadosabertos.camara.leg.br/api/v2/deputados/204361;57;CARLOS ALBERTO CHIODINI
https://dadosabertos.camara.leg.br/api/v2/deputados/178962;57;ANTONIO CARLOS GOMES DA SILVA
https://dadosabertos.camara.leg.br/api/v2/deputados/178993;57;CARLOS HENRIQUE AMORIM
https://dadosabertos.camara.leg.br/api/v2/deputados/204460;57;Carlos Roberto Coelho de Mattos Júnior
https://dadosabertos.camara.leg.br/api/v2/deputados/74262;57;CARLOS HENRIQUE FOCESI SAMPAIO
https://dadosabertos.camara.leg.br/api/v2/deputados/204426;57;JOSÉ CARLOS VERAS DOS SANTOS
https://dadosabertos.camara.leg.br/api/v2/deputados/141398;57;CARLOS ALBERTO ROLIM ZARATTINI
https://dadosabertos.camara.leg.br/api/v2/deputados/164360;57;CARMEN EMÍLIA BONFÁ ZANOTTO
https://dadosabertos.camara.leg.br/api/v2/deputados/220704;57;ANA CAROLINA MOURA MELO DARTORA
https://dadosabertos.camara.leg.br/api/v2/deputados/204369;57;CAROLINE RODRIGUES DE TONI
https://dadosabertos.camara.leg.br/api/v2/deputados/220699;57;JOSÉ DIAS DE CASTRO NETO
https://dadosabertos.camara.leg.br/api/v2/deputados/206018;57;CÉLIA NUNES CORREA
https://dadosabertos.camara.leg.br/api/v2/deputados/178876;57;CELIO ANTONIO DA SILVEIRA
https://dadosabertos.camara.leg.br/api/v2/deputados/204488;57;CELIO STUDART BARBOSA
https://dadosabertos.camara.leg.br/api/v2/deputados/73441;57;CELSO UBIRAJARA RUSSOMANNO
https://dadosabertos.camara.leg.br/api/v2/deputados/204496;57;CELSO SABINO DE OLIVEIRA
https://dadosabertos.camara.leg.br/api/v2/deputados/204504;57;ANTONIO CEZAR CORREIA FREIRE
https://dadosabertos.camara.leg.br/api/v2/deputados/205476;57;CHARLES FERNANDES SILVEIRA SANTANA
https://dadosabertos.camara.leg.br/api/v2/deputados/74171;57;FRANCISCO RODRIGUES DE ALENCAR FILHO
https://dadosabertos.camara.leg.br/api/v2/deputados/204476;57;JOÃO FRANCISCO INÁCIO BRAZÃO
https://dadosabertos.camara.leg.br/api/v2/deputados/204462;57;CHRISTINE NOGUEIRA DOS REIS TONIETTO
https://dadosabertos.camara.leg.br/api/v2/deputados/220665;57;ERICA CLARISSA BORBA CORDEIRO DE MOURA
https://dadosabertos.camara.leg.br/api/v2/deputados/74537;57;CLÁUDIO CAJADO SAMPAIO
https://dadosabertos.camara.leg.br/api/v2/deputados/141408;57;CLEBER VERDE CORDEIRO MENDES
https://dadosabertos.camara.leg.br/api/v2/deputados/88256;57;CLODOALDO MAGALHÃES OLIVEIRA LYRA
https://dadosabertos.camara.leg.br/api/v2/deputados/98148;57;VALDIR VITAL COBALCHINI
https://dadosabertos.camara.leg.br/api/v2/deputados/220594;57;JONILDO JOSÉ DE ASSIS
https://dadosabertos.camara.leg.br/api/v2/deputados/204378;57;JOÃO CHRISÓSTOMO DE MOURA
https://dadosabertos.camara.leg.br/api/v2/deputados/220595;57;RUBIA FERNANDA DINIZ ROBSON SANTOS DE SIQUEIRA
https://dadosabertos.camara.leg.br/api/v2/deputados/220666;57;LUIZ DE FRANÇA E SILVA MEIRA
https://dadosabertos.camara.leg.br/api/v2/deputados/222142;57;PAULO ADRIANO LOPES LUCINDA TELHADA
https://dadosabertos.camara.leg.br/api/v2/deputados/220590;57;ULYSSES FREITAS PEREIRA DE ARAÚJO
https://dadosabertos.camara.leg.br/api/v2/deputados/178963;57;LUIS ANTONIO FRANCISCATTO COVATTI
https://dadosabertos.camara.leg.br/api/v2/deputados/220608;57;CRISTIANE LOPES DA LUZ BENARROSH
https://dadosabertos.camara.leg.br/api/v2/deputados/204355;57;JOSIAS MARIO DA VITORIA
https://dadosabertos.camara.leg.br/api/v2/deputados/141411;57;DAGOBERTO NOGUEIRA FILHO
https://dadosabertos.camara.leg.br/api/v2/deputados/220555;57;DAIANA SILVA DOS SANTOS
https://dadosabertos.camara.leg.br/api/v2/deputados/220692;57;ADALBERTO ROSA BARRETO
https://dadosabertos.camara.leg.br/api/v2/deputados/74467;57;DAMIÃO FELICIANO DA SILVA
https://dadosabertos.camara.leg.br/api/v2/deputados/220629;57;DANDARA TONANTZIN SILVA CASTRO
https://dadosabertos.camara.leg.br/api/v2/deputados/220603;57;DANIELLE DYTZ DA CUNHA
https://dadosabertos.camara.leg.br/api/v2/deputados/220571;57;DANIEL VIEIRA RAMOS
https://dadosabertos.camara.leg.br/api/v2/deputados/74060;57;DANIEL GOMES DE ALMEIDA
https://dadosabertos.camara.leg.br/api/v2/deputados/220582;57;DANIEL BARBOSA DE ALMEIDA SILVA
https://dadosabertos.camara.leg.br/api/v2/deputados/204367;57;DANIEL COSTA DE FREITAS
https://dadosabertos.camara.leg.br/api/v2/deputados/204409;57;DANIEL TRZECIAK DUARTE
https://dadosabertos.camara.leg.br/api/v2/deputados/204459;57;DANIELA MOTE DE SOUZA CARNEIRO
https://dadosabertos.camara.leg.br/api/v2/deputados/220557;57;DANIELA CRISTINA REINEHR
https://dadosabertos.camara.leg.br/api/v2/deputados/62881;57;FRANCISCO DANILO BASTOS FORTE
https://dadosabertos.camara.leg.br/api/v2/deputados/160552;57;DANRLEI DE DEUS HINTERHOLZ
https://dadosabertos.camara.leg.br/api/v2/deputados/116379;57;DARCI DE MATOS
https://dadosabertos.camara.leg.br/api/v2/deputados/204511;57;DAVID BEZERRA RIBEIRO SOARES
https://dadosabertos.camara.leg.br/api/v2/deputados/220659;57;DAYANY BITTENCOURT SANTIL
https://dadosabertos.camara.leg.br/api/v2/deputados/220539;57;STÉLIO DENER DE SOUZA CRUZ
https://dadosabertos.camara.leg.br/api/v2/deputados/220565;57;ADRIANA SAUTHIER ACCORSI
https://dadosabertos.camara.leg.br/api/v2/deputados/220625;57;IONE MARIA MOREIRA DIAS BARBOSA
https://dadosabertos.camara.leg.br/api/v2/deputados/220561;57;KATARINA FEITOZA LIMA SANTANA
https://dadosabertos.camara.leg.br/api/v2/deputados/220642;57;BRUNO MARCELLO DE OLIVEIRA LIMA
https://dadosabertos.camara.leg.br/api/v2/deputados/220673;57;LENILDO MENDES DOS SANTOS SERTÃO
